CID,C
CID000439260,C00547
CID000439264,C00558
CID000439269,C00603
CID000439273,C00618
CID000439276,C00623
CID000439278,C00631
CID000439279,C00636
CID000439280,C00643
CID000439281,C00645
CID000439283,C00666
CID000439284,C00668
CID000439285,C00670
CID000439286,C00671
CID000439288,C00673
CID000439290,C00679
CID000439292,C11907
CID000439294,C00691
CID000439294,C17577
CID000439296,C00700
CID000439303,C00748
CID000439312,C00795
CID000439314,C00810
CID000439315,C00817
CID000439316,C00822
CID000439319,C00826
CID000439322,C00831
CID000439343,C00905
CID000439350,C00937
CID000439351,C00944
CID000439357,C00984
CID000439373,C01040
CID000439375,C01043
CID000439376,C01045
CID000439377,C01046
CID000439383,C01056
CID000439389,C01077
CID000439394,C01094
CID000439399,C01101
CID000439402,C01110
CID000439406,C01118
CID000439408,C01121
CID000439415,C01137
CID000439423,C01164
CID000439424,C01168
CID000439427,C01172
CID000439430,C01186
CID000439432,C05385
CID000439434,C03284
CID000439436,C01210
CID000439440,C01214
CID000439440,C17578
CID000439444,C01220
CID000439446,C01222
CID000439450,C01228
CID000439452,C01236
CID000439455,C01243
CID000439456,C01245
CID000439459,C01251
CID000439460,C01259
CID000439463,C01269
CID000439464,C01270
CID000439467,C01283
CID000439468,C01284
CID000439468,C15990
CID000439476,C01297
CID000439479,C01301
CID000439488,C01344
CID000439498,C01419
CID000439503,C01451
CID000439507,C01487
CID000439508,C01508
CID000439514,C01527
CID000439531,C01613
CID000439536,C01623
CID000439544,C01674
CID000439545,C01720
CID000439555,C01725
